,Flight Path ID,Mission ID,Current Speed (meters / s),AGL (meters),Current Roll (degrees),Current Yaw (degrees),GPS Speed (meters / s),Pressure Altitude (meters),Current Pitch (degrees),Airborn,Time (s)
88,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.9330000000000003
89,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,2.967
90,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.0
91,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.033
92,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.0669999999999997
93,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.1
94,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.133
95,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.167
96,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.2
97,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.233
98,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.267
99,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.3
100,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.333
101,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.367
102,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.4
103,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.4330000000000003
104,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.467
105,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.5
106,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.533
107,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.5669999999999997
108,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.6
109,1,1,0.0,0.24,0.0,0.0,0.0,0.0,6.55,True,3.633
