,GPS Position East (degrees),GPS Position North (degrees),GPS Altitude (meters),Mission ID
9123,76.14360376,39.47750668,259.69,1
9124,76.14360376,39.47750668,259.69,1
9125,76.14360376,39.47750668,259.69,1
9126,76.14360376,39.47750668,259.69,1
9127,76.14360376,39.47750668,259.69,1
9128,76.14360376,39.47750668,259.69,1
9129,76.14350189,39.47749293,259.69,1
9130,76.14350189,39.47749293,259.69,1
9131,76.14350189,39.47749293,259.69,1
9132,76.14350189,39.47749293,259.69,1
9133,76.14350189,39.47749293,259.69,1
9134,76.14350189,39.47749293,259.69,1
9135,76.14350189,39.47749293,259.69,1
9136,76.14341148,39.47748055,259.69,1
9137,76.14341148,39.47748055,259.69,1
9138,76.14341148,39.47748055,259.69,1
9139,76.14341148,39.47748055,259.69,1
9140,76.14341148,39.47748055,259.69,1
9141,76.14341148,39.47748055,259.69,1
9142,76.14341148,39.47748055,259.69,1
9143,76.14341148,39.47748055,259.69,1
9144,76.14330961,39.47746669,259.69,1
9145,76.14330961,39.47746669,259.69,1
9146,76.14330961,39.47746669,259.69,1
9147,76.14330961,39.47746669,259.69,1
9148,76.14330961,39.47746669,259.69,1
9149,76.14330961,39.47746669,259.69,1
9150,76.14330961,39.47746669,259.69,1
9151,76.14321919,39.47745442,259.69,1
9152,76.14321919,39.47745442,259.69,1
9153,76.14321919,39.47745442,259.69,1
9154,76.14321919,39.47745442,259.69,1
9155,76.14321919,39.47745442,259.69,1
9156,76.14321919,39.47745442,259.69,1
9157,76.14321919,39.47745442,259.69,1
9158,76.14321919,39.47745442,259.69,1
9159,76.14311732,39.47744056,259.69,1
9160,76.14311732,39.47744056,259.69,1
9161,76.14311732,39.47744056,259.69,1
9162,76.14311732,39.47744056,259.69,1
9163,76.14311732,39.47744056,259.69,1
9164,76.14311732,39.47744056,259.69,1
9165,76.14311732,39.47744056,259.69,1
9166,76.14302691,39.4774283,259.69,1
9167,76.14302691,39.4774283,259.69,1
9168,76.14302691,39.4774283,259.69,1
9169,76.14302691,39.4774283,259.69,1
9170,76.14302691,39.4774283,259.69,1
9171,76.14302691,39.4774283,259.69,1
9172,76.14302691,39.4774283,259.69,1
9173,76.14302691,39.4774283,259.69,1
9174,76.14292492,39.47741443,259.69,1
9175,76.14292492,39.47741443,259.69,1
9176,76.14292492,39.47741443,259.69,1
9177,76.14292492,39.47741443,259.69,1
9178,76.14292492,39.47741443,259.69,1
9179,76.14292492,39.47741443,259.69,1
9180,76.14292492,39.47741443,259.69,1
9181,76.14283451,39.47740217,259.69,1
9182,76.14283451,39.47740217,259.69,1
9183,76.14283451,39.47740217,259.69,1
9184,76.14283451,39.47740217,259.69,1
9185,76.14283451,39.47740217,259.69,1
9186,76.14283451,39.47740217,259.69,1
9187,76.14283451,39.47740217,259.69,1
9188,76.14283451,39.47740217,259.69,1
9189,76.14273252,39.4773883,259.69,1
9190,76.14273252,39.4773883,259.69,1
9191,76.14273252,39.4773883,259.69,1
9192,76.14273252,39.4773883,259.69,1
9193,76.14273252,39.4773883,259.69,1
